#Leaf_name	Clade_name	Clade_desc
kalimantacin_batumin_Bat21_KS2_AAGly	Clade_1	Amino acids
FR901464_Fr9D1_KS4_AAthr	Clade_1	Amino acids
thailanstatin_TstDEF1_KS4_AAthr	Clade_1	Amino acids
psymberin_PsyD2_KS4_AAgly	Clade_1	Amino acids
myxovirescin_Ta11_KS1_AAgly	Clade_1	Amino acids
thailandamide_TaiE1_KS5_AAala	Clade_1	Amino acids
calyculin_CalB2_KS4_AAgly	Clade_1	Amino acids
calyculin_CalH2_KS26_AAala	Clade_1	Amino acids
bacillaene_Bsub_PksN1_KS11_AAala	Clade_1	Amino acids
bacillaene_Bamy_BaeN1_KS10_AAala	Clade_1	Amino acids
bacillaene_Bamy_BaeJ1_KS1_Agly	Clade_1	Amino acids
bacillaene_Bsub_PksJ1_KS1_AAgly	Clade_1	Amino acids
calyculin_CalA_KS1_KS0AAser	Clade_1	Amino acids
pederin_PedF2_KS5_AAgly	Clade_1	Amino acids
diaphorin_DipT2_KS5_AAgly	Clade_1	Amino acids
nosperin_NspC2_KS5_AAgly	Clade_1	Amino acids
onnamide_OnnI2_KS5_AAgly	Clade_1	Amino acids
griseoviridin_SgvE21_KS3_AAgly	Clade_2	Amino acids
virginiamycin_VirA3_KS3_AAgly	Clade_2	Amino acids
oxazolomycin_OzmQ1_KS1_AAgly	Clade_2	Amino acids
oxazolomycin_OzmN1_KS2_AAoxa	Clade_2	Amino acids
malleilactone_burkholderic_acid_BurA1_KS1_unusualStarter	Clade_2	Amino acids
oxazolomycin_OzmH4_KS8_0eDB	Clade_3	Bimodular beta-hydroxyl
difficidin_DifG2_KS5_0Hbimod_bOH	Clade_3	Bimodular beta-hydroxyl
misakinolide_MisE4_KS14_0bLOH	Clade_3	Bimodular beta-hydroxyl
tolytoxin_TtoE8_KS14_0bimod_bDOH	Clade_3	Bimodular beta-hydroxyl
luminaolid_LumD4_KS14_0bimod_bDOH	Clade_3	Bimodular beta-hydroxyl
thailandamide_TaiK2_KS8_0bOH	Clade_3	Bimodular beta-hydroxyl
kalimantacin_batuminBat26_KS7_0bimod_bOH	Clade_3	Bimodular beta-hydroxyl
sorangicin_SorH3_KS22_0bimod_bOH	Clade_3	Bimodular beta-hydroxyl
bongkrekic_acid_BonA6_KS6_0bimod_bOH	Clade_3	Bimodular beta-hydroxyl
sorangicin_SorA7_KS7_0bimod_bOH	Clade_3	Bimodular beta-hydroxyl
bacillaene_Bsub_PksL4_KS7_Obimod_bOH	Clade_3	Bimodular beta-hydroxyl
bacillaene_Bamy_BaeL4_KS7_0Hbimod_bOH	Clade_3	Bimodular beta-hydroxyl
bacillaene_Bsub_PksJ3_KS3_OHbimod_OH	Clade_3	Bimodular beta-hydroxyl
bacillaene_Bamy_BaeJ3_KS3_0Hbimod_bOH	Clade_3	Bimodular beta-hydroxyl
difficidin_DifJ2_KS12_obimod_bOH	Clade_3	Bimodular beta-hydroxyl
leinamycin_LnmI3_KS3_zDB	Clade_4	Bimodular beta-hydroxyl
tartrolon_TrtD_KS33_bimod_bOH	Clade_4	Bimodular beta-hydroxyl
kirromycin_KirAI2_KS2_zcrotonyl	Clade_4	Bimodular beta-hydroxyl
kirromycin_KirAIV5_KS11_bDOH	Clade_4	Bimodular beta-hydroxyl
etnangien_EtnG4_KS14_0bOH	Clade_4	Bimodular beta-hydroxyl
difficidin_DifI4_KS10_bimod_bOH	Clade_4	Bimodular beta-hydroxyl
elansolid_Csan_ElaO2_KS7_bimod_bDOH	Clade_4	Bimodular beta-hydroxyl
elansolid_Cpin_ElsN2_KS7_bimod_bDOH	Clade_4	Bimodular beta-hydroxyl
basiliskamides_P615_BasE3_KS3_bOH	Clade_4	Bimodular beta-hydroxyl
macrolactin_MlnE2_KS8_bimod_bOH	Clade_4	Bimodular beta-hydroxyl
macrolactin_MlnG1_KS11_bimod_bOH	Clade_4	Bimodular beta-hydroxyl
chivosazole_ChiD3_KS12_bimod_bOH	Clade_4	Bimodular beta-hydroxyl
chivosazole_ChiF2_KS16_bimod_bOH	Clade_4	Bimodular beta-hydroxyl
chivosazole_ChiC2_KS5_bimod_bOH	Clade_4	Bimodular beta-hydroxyl
tartrolon_TrtE3_KS6_red	Clade_5	Shifted double bonds
rhizoxins_RhiE1_KS1_aMeshDB	Clade_5	Shifted double bonds
nosperin_NspC4_KS7_aMeshDB	Clade_5	Shifted double bonds
onnamide_OnnJ1_KS11_bOH	Clade_5	Shifted double bonds
calyculin_CalI1_KS24_shDB	Clade_5	Shifted double bonds
